TMAX,TMIN,PRCP,SNWD,DATE,STATION
  360,,,,1975-08-26,AFM00040990
,  120,,,1975-08-27,AFM00040990
  360,  150,,,1975-08-28,AFM00040990
,  120,,,1975-08-29,AFM00040990
,  150,,,1975-08-31,AFM00040990
,  150,,,1975-09-02,AFM00040990
,,,,1975-09-03,AFM00040990
,,,,1975-09-04,AFM00040990
,,,,1975-09-05,AFM00040990
,  120,,,1975-09-06,AFM00040990
  340,,,,1975-09-07,AFM00040990
,  130,,,1975-09-08,AFM00040990
,,,,1975-09-09,AFM00040990
,  130,,,1975-09-11,AFM00040990
,  140,,,1975-09-12,AFM00040990
  380,,,,1975-09-13,AFM00040990
,  140,,,1975-09-14,AFM00040990
  370,  120,,,1975-09-15,AFM00040990
,  150,,,1975-09-16,AFM00040990
  360,  130,,,1975-09-17,AFM00040990
,  160,,,1975-09-18,AFM00040990
  370,,,,1975-09-19,AFM00040990
,  140,,,1975-09-20,AFM00040990
,  120,,,1975-09-21,AFM00040990
,  110,,,1975-09-22,AFM00040990
,  100,,,1975-09-23,AFM00040990
,  110,,,1975-09-24,AFM00040990
  340,,,,1975-09-25,AFM00040990
,  120,,,1975-09-26,AFM00040990
  310,  110,,,1975-09-27,AFM00040990
,,,,1975-09-28,AFM00040990
  320,   90,,,1975-09-29,AFM00040990
,   90,,,1975-09-30,AFM00040990
  310,,,,1975-10-01,AFM00040990
,   80,,,1975-10-02,AFM00040990
,   80,,,1975-10-03,AFM00040990
,,,,1975-10-04,AFM00040990
,,,,1975-10-05,AFM00040990
,  100,,,1975-10-08,AFM00040990
,,,,1975-10-10,AFM00040990
  320,   80,,,1975-10-11,AFM00040990
,  110,,,1975-10-12,AFM00040990
