TMAX,TMIN,PRCP,DATE,STATION
  289,  117,    0,1980-05-06,MXN00032112
  272,  128,    0,1980-05-07,MXN00032112
  278,  111,    0,1980-05-08,MXN00032112
  306,  117,    0,1980-05-09,MXN00032112
  300,  139,    0,1980-05-10,MXN00032112
  278,  128,    0,1980-05-11,MXN00032112
  317,  122,    0,1980-05-12,MXN00032112
  339,  139,    0,1980-05-13,MXN00032112
  328,  156,    0,1980-05-14,MXN00032112
  311,  128,    0,1980-05-15,MXN00032112
  289,  133,    0,1980-05-16,MXN00032112
  300,  117,    0,1980-05-17,MXN00032112
  300,  111,    0,1980-05-18,MXN00032112
  306,  122,    0,1980-05-19,MXN00032112
  289,  128,    0,1980-05-20,MXN00032112
  278,  106,    0,1980-05-21,MXN00032112
  300,  122,    0,1980-05-22,MXN00032112
  317,  111,    0,1980-05-23,MXN00032112
  322,  139,    0,1980-05-24,MXN00032112
  328,  133,    0,1980-05-25,MXN00032112
  339,  150,    0,1980-05-26,MXN00032112
  317,  161,    0,1980-05-27,MXN00032112
  289,  139,    0,1980-05-28,MXN00032112
  300,  128,    0,1980-05-29,MXN00032112
  322,  122,    0,1980-05-30,MXN00032112
  350,  139,    0,1980-05-31,MXN00032112
  328,  139,    0,1980-06-01,MXN00032112
  300,  100,    0,1980-06-02,MXN00032112
  300,  100,    0,1980-06-03,MXN00032112
  300,   89,    0,1980-06-04,MXN00032112
  261,  100,  249,1980-06-05,MXN00032112
  300,   89,    3,1980-06-06,MXN00032112
  300,  106,    0,1980-06-07,MXN00032112
  306,  100,    0,1980-06-08,MXN00032112
  300,  100,    0,1980-06-09,MXN00032112
  278,  100,    0,1980-06-10,MXN00032112
  267,  100,   94,1980-06-11,MXN00032112
  289,  100,    0,1980-06-12,MXN00032112
  278,  100,    0,1980-06-13,MXN00032112
  300,  100,    0,1980-06-14,MXN00032112
  306,  100,    0,1980-06-15,MXN00032112
  300,  100,    0,1980-06-16,MXN00032112
  283,  106,    0,1980-06-17,MXN00032112
  317,  128,   28,1980-06-18,MXN00032112
  306,  128,    0,1980-06-19,MXN00032112
  289,  106,    8,1980-06-20,MXN00032112
  294,  128,   38,1980-06-21,MXN00032112
  278,  128,    8,1980-06-22,MXN00032112
  267,  106,   28,1980-06-23,MXN00032112
  217,  100,   99,1980-06-24,MXN00032112
  250,   56,  109,1980-06-25,MXN00032112
  250,   78,   18,1980-06-26,MXN00032112
  228,   78,    0,1980-06-27,MXN00032112
  239,  111,   89,1980-06-28,MXN00032112
